Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms
Hotsip,Oracle,2006,16-02-2006,Undisclosed amount,Undisclosed,Undisclosed
Hyperion Solutions,Oracle,2007,01-03-2007,Undisclosed amount,Undisclosed,Undisclosed
HyperRoll,Oracle,2009,29-09-2009,Undisclosed amount,Undisclosed,Undisclosed
Innobase,Oracle,2005,07-10-2005,Undisclosed amount,Undisclosed,Undisclosed
InQuira,Oracle,2011,28-07-2011,Undisclosed amount,Undisclosed,Undisclosed
Instantis,Oracle,2012,08-11-2012,Undisclosed amount,Undisclosed,Undisclosed
Involver,Oracle,2012,10-07-2012,Undisclosed amount,Undisclosed,Undisclosed
LiveLOOK,Oracle,2014,20-06-2014,Undisclosed amount,Complete,Undisclosed
LODESTAR Corporation,Oracle,2007,24-04-2007,Undisclosed amount,Undisclosed,Undisclosed
LogicalApps,Oracle,2007,10-10-2007,Undisclosed amount,Undisclosed,Cash
MetaSolv,Oracle,2006,23-10-2006,Undisclosed amount,Undisclosed,Undisclosed
MICROS Systems,Oracle,2014,23-06-2014,"$5,300,000,000",Complete,"Cash, Stock"
mValent,Oracle,2009,04-02-2009,Undisclosed amount,Undisclosed,Undisclosed
NetForce,Oracle,2002,16-01-2002,Undisclosed amount,Undisclosed,Undisclosed
Netsure Telecom,Oracle,2007,03-09-2007,Undisclosed amount,Undisclosed,Cash
Nimbula,Oracle,2013,13-03-2013,Undisclosed amount,Undisclosed,Undisclosed
Oblix,Oracle,2005,28-03-2005,Undisclosed amount,Undisclosed,Undisclosed
Octetstring,Oracle,2005,01-11-2005,Undisclosed amount,Undisclosed,Undisclosed
Passlogix,Oracle,2010,06-10-2010,Undisclosed amount,Undisclosed,Undisclosed
PeopleSoft,Oracle,2004,13-12-2004,Undisclosed amount,Undisclosed,Undisclosed
Phase Forward,Oracle,2010,20-04-2010,"$685,000,000",Undisclosed,Cash
Pillar Data Systems,Oracle,2011,29-06-2011,Undisclosed amount,Undisclosed,Undisclosed
Portal Software,Oracle,2006,12-04-2006,Undisclosed amount,Undisclosed,Undisclosed
Primavera Systems,Oracle,2008,08-10-2008,Undisclosed amount,Undisclosed,Undisclosed
ProfitLogic,Oracle,2005,05-07-2005,Undisclosed amount,Undisclosed,Undisclosed
Relsys International,Oracle,2009,22-07-2009,Undisclosed amount,Undisclosed,Undisclosed
Responsys,Oracle,2013,20-12-2013,"$1,500,000,000",Undisclosed,Cash
Retek,Oracle,2005,21-03-2005,Undisclosed amount,Undisclosed,Undisclosed
RightNow Technologies,Oracle,2011,24-10-2011,"$1,500,000,000",Undisclosed,"Cash, Stock"
RuleBurst Holdings,Oracle,2008,29-10-2008,"$150,000,000",Undisclosed,Undisclosed
Secerno,Oracle,2010,20-05-2010,Undisclosed amount,Undisclosed,Undisclosed
SelectMinds,Oracle,2012,17-09-2012,Undisclosed amount,Undisclosed,Undisclosed
Siebel Systems,Oracle,2006,31-01-2006,"$5,900,000,000",Undisclosed,Stock
Silver Creek Systems,Oracle,2010,04-01-2010,Undisclosed amount,Undisclosed,Undisclosed
SiteWorks Solutions,Oracle,2004,22-01-2004,Undisclosed amount,Undisclosed,Undisclosed
Skire,Oracle,2012,19-07-2012,Undisclosed amount,Undisclosed,Undisclosed
Skywire Software,Oracle,2008,01-05-2008,Undisclosed amount,Undisclosed,Undisclosed
Sleepycat Software,Oracle,2006,14-02-2006,Undisclosed amount,Undisclosed,Undisclosed
Sophoi,Oracle,2009,12-10-2009,Undisclosed amount,Undisclosed,Undisclosed
SPL WorldGroup,Oracle,2006,03-11-2006,Undisclosed amount,Undisclosed,Undisclosed
Stellent,Oracle,2006,02-11-2006,Undisclosed amount,Undisclosed,Undisclosed
Steltor,Oracle,2002,12-07-2002,Undisclosed amount,Undisclosed,Undisclosed
Sun Microsystems,Oracle,2009,20-04-2009,"$7,400,000,000",Undisclosed,Cash
Sunopsis,Oracle,2006,09-10-2006,Undisclosed amount,Undisclosed,Undisclosed
Tacit Software,Oracle,2008,03-11-2008,Undisclosed amount,Undisclosed,Undisclosed
Taleo,Oracle,2012,09-02-2012,"$1,900,000,000",Undisclosed,Undisclosed
Tangosol,Oracle,2007,23-03-2007,Undisclosed amount,Undisclosed,Undisclosed
Tekelec International,Oracle,2013,25-03-2013,Undisclosed amount,Undisclosed,Undisclosed
Temposoft,Oracle,2005,01-12-2005,Undisclosed amount,Undisclosed,Undisclosed
Thor Technologies,Oracle,2005,18-11-2005,Undisclosed amount,Undisclosed,Undisclosed
TimesTen,Oracle,2005,09-06-2005,Undisclosed amount,Undisclosed,Undisclosed
TOA Technologies,Oracle,2014,31-07-2014,Undisclosed amount,Complete,Undisclosed
Virtual Iron Software,Oracle,2009,13-05-2009,Undisclosed amount,Undisclosed,Undisclosed
Vitrue,Oracle,2012,23-05-2012,"$300,000,000",Undisclosed,Undisclosed
Xsigo,Oracle,2012,30-07-2012,"$220,000,000",Undisclosed,Undisclosed
Where,PayPal,2011,03-07-1905,"$135,000,000",Undisclosed,Undisclosed
Hackermeter,Pinterest,2013,11-10-2013,Undisclosed amount,Undisclosed,Undisclosed
Icebergs,Pinterest,2014,30-07-2014,Undisclosed amount,Pending,Undisclosed
Livestar,Pinterest,2013,20-03-2013,Undisclosed amount,Undisclosed,Undisclosed
Punchfork,Pinterest,2013,03-01-2013,Undisclosed amount,Undisclosed,Undisclosed
VisualGraph,Pinterest,2014,06-01-2014,Undisclosed amount,Undisclosed,Undisclosed
AMD Handheld Graphics,Qualcomm,2009,20-01-2009,"$65,000,000",Undisclosed,Undisclosed
Berkäna Wireless,Qualcomm,2006,05-01-2006,"$56,000,000",Undisclosed,Cash
Bitboys Oy,Qualcomm,2009,22-01-2009,Undisclosed amount,Undisclosed,Undisclosed
Black Sand Technologies,Qualcomm,2014,26-06-2014,Undisclosed amount,Complete,Undisclosed
DesignArt Networks,Qualcomm,2012,23-08-2012,"$144,000,000",Complete,Cash
Digital Fountain,Qualcomm,2009,01-03-2009,Undisclosed amount,Undisclosed,Undisclosed
ELATA,Qualcomm,2005,17-08-2005,Undisclosed amount,Undisclosed,Undisclosed
Euvision,Qualcomm,2014,15-09-2014,Undisclosed amount,Pending,Undisclosed
Firethorn,Qualcomm,2007,14-11-2007,"$210,000,000",Undisclosed,Cash
HaloIPT,Qualcomm,2011,08-11-2011,Undisclosed amount,Undisclosed,Undisclosed
Now Software,Qualcomm,1997,10-11-1997,Undisclosed amount,Undisclosed,Undisclosed
Pixtronix,Qualcomm,2011,01-12-2011,"$175,000,000",Undisclosed,Undisclosed
Qualcomm Atheros,Qualcomm,2011,05-05-2011,"$3,100,000,000",Undisclosed,Stock
Rapid Bridge,Qualcomm,2011,10-06-2011,Undisclosed amount,Undisclosed,Undisclosed
SnapTrack,Qualcomm,2000,02-03-2000,Undisclosed amount,Undisclosed,Undisclosed
SoftMax,Qualcomm,2007,21-12-2007,Undisclosed amount,Undisclosed,Cash
Summit Microelectronics,Qualcomm,2014,18-06-2014,Undisclosed amount,Complete,Undisclosed
TeleCIS Wireless,Qualcomm,2007,01-04-2007,Undisclosed amount,Undisclosed,Undisclosed
Trigenix,Qualcomm,2004,12-10-2004,Undisclosed amount,Undisclosed,Undisclosed
Wilocity,Qualcomm,2014,02-07-2014,"$300,000,000",Complete,Cash
Within Technology,Qualcomm,2000,17-03-2000,Undisclosed amount,Undisclosed,Undisclosed
Xiam,Qualcomm,2008,11-03-2008,"$32,000,000",Undisclosed,Cash
Nullsoft,Radionomy,2014,01-01-2014,Undisclosed amount,Undisclosed,Undisclosed
Bebo,Reachd,2010,17-06-2010,"$10,000,000",Undisclosed,Undisclosed
Rent.com,RentPath,2012,08-05-2012,Undisclosed amount,Undisclosed,Cash
Activa Live,Salesforce,2010,24-09-2010,Undisclosed amount,Undisclosed,Undisclosed
ChoicePass,Salesforce,2012,18-06-2012,Undisclosed amount,Undisclosed,Undisclosed
Clipboard,Salesforce,2013,09-05-2013,"$12,000,000",Undisclosed,Undisclosed
Desk,Salesforce,2011,21-09-2011,"$50,000,000",Undisclosed,Cash
Dimdim,Salesforce,2011,06-01-2011,"$31,000,000",Undisclosed,Cash
EdgeSpring,Salesforce,2013,07-06-2013,Undisclosed amount,Undisclosed,Undisclosed
EntropySoft,Salesforce,2013,06-02-2013,Undisclosed amount,Undisclosed,Undisclosed
Etacts,Salesforce,2010,21-12-2010,Undisclosed amount,Undisclosed,Undisclosed
ExactTarget,Salesforce,2013,04-06-2013,"$2,500,000,000",Undisclosed,Undisclosed
GoInstant,Salesforce,2012,09-07-2012,"$70,000,000",Undisclosed,Cash
GroupSwim,Salesforce,2009,11-12-2009,Undisclosed amount,Undisclosed,Undisclosed
Heroku,Salesforce,2010,08-12-2010,"$250,000,000",Undisclosed,"Cash, Stock"
Informavores,Salesforce,2009,31-12-2009,Undisclosed amount,Undisclosed,Undisclosed
InStranet,Salesforce,2008,04-08-2008,"$31,500,000",Undisclosed,Cash
Jigsaw,Salesforce,2010,21-04-2010,"$142,000,000",Undisclosed,Cash
Kieden,Salesforce,2006,22-08-2006,Undisclosed amount,Undisclosed,Undisclosed
Koral Technologies,Salesforce,2007,10-04-2007,Undisclosed amount,Undisclosed,Undisclosed
Manymoon,Salesforce,2011,01-02-2011,Undisclosed amount,Undisclosed,Undisclosed
Model Metrics,Salesforce,2011,14-11-2011,Undisclosed amount,Undisclosed,Undisclosed
Prior Knowledge,Salesforce,2012,16-12-2012,Undisclosed amount,Undisclosed,Undisclosed
RelateIQ,Salesforce,2014,11-07-2014,"$390,000,000",,Undisclosed
Rypple,Salesforce,2011,15-12-2011,Undisclosed amount,Undisclosed,Undisclosed
Salesforce Buddy Media,Salesforce,2012,04-06-2012,"$689,000,000",Undisclosed,Undisclosed
Salesforce Japan,Salesforce,2010,31-10-2010,"$170,000,000",Undisclosed,Undisclosed
Salesforce Radian6,Salesforce,2011,30-03-2011,"$326,000,000",Undisclosed,"Cash, Stock"
Sendia,Salesforce,2006,10-10-2006,Undisclosed amount,Complete,Undisclosed
Sitemasher,Salesforce,2010,04-06-2010,Undisclosed amount,Undisclosed,Cash
Stypi,Salesforce,2012,01-05-2012,Undisclosed amount,Undisclosed,Undisclosed
Thinkfuse,Salesforce,2012,25-06-2012,Undisclosed amount,Undisclosed,Undisclosed
Boxee,Samsung Electronics,2013,03-07-2013,"$30,000,000",Undisclosed,Undisclosed
Grandis,Samsung Electronics,2011,01-08-2011,Undisclosed amount,Undisclosed,Undisclosed
Liquavista,Samsung Electronics,2011,19-01-2011,Undisclosed amount,Undisclosed,Undisclosed
mSpot,Samsung Electronics,2012,09-05-2012,Undisclosed amount,Undisclosed,Undisclosed
NeuroLogica,Samsung Electronics,2013,29-01-2013,Undisclosed amount,Undisclosed,Undisclosed
Nexus Dx,Samsung Electronics,2011,15-11-2011,Undisclosed amount,Undisclosed,Undisclosed
Novaled,Samsung Electronics,2013,09-08-2013,"$347,000,000",Undisclosed,Undisclosed
NVELO,Samsung Electronics,2012,15-12-2012,Undisclosed amount,Undisclosed,Undisclosed
Shelby.tv,Samsung Electronics,2014,05-06-2014,Undisclosed amount,Pending,Undisclosed
SmartThings,Samsung Electronics,2014,16-07-2014,"$200,000,000",Pending,Undisclosed
FlashSoft,SanDisk,2012,15-02-2012,Undisclosed amount,Undisclosed,Undisclosed
Fusion-io,SanDisk,2014,16-06-2014,"$1,100,000,000",Pending,Cash
MusicGremlin,SanDisk,2008,10-06-2008,Undisclosed amount,Undisclosed,Undisclosed
Pliant Technology,SanDisk,2011,16-05-2011,"$327,000,000",Undisclosed,Cash
Schooner Information Technology,SanDisk,2012,26-06-2012,Undisclosed amount,Undisclosed,Undisclosed
SMART Storage Systems,SanDisk,2013,02-07-2013,"$307,000,000",Undisclosed,Undisclosed
Ariba,SAP,2012,22-05-2012,"$4,300,000,000",Undisclosed,Undisclosed
Clear Standards,SAP,2009,11-05-2009,Undisclosed amount,Undisclosed,Undisclosed
Coghead,SAP,2009,19-02-2009,Undisclosed amount,Undisclosed,Undisclosed
Fieldglass,SAP,2014,26-03-2014,Undisclosed amount,Undisclosed,Undisclosed
hybris,SAP,2013,06-06-2013,Undisclosed amount,Undisclosed,Undisclosed
KXEN,SAP,2013,10-09-2013,Undisclosed amount,Complete,Undisclosed
OpTier,SAP,2104,10-08-2014,"$10,000,000,000",Pending,Cash
Right Hemisphere,SAP,2011,06-09-2011,Undisclosed amount,Undisclosed,Undisclosed
SAF,SAP,2009,23-07-2009,"$100,000,000",Undisclosed,Undisclosed
SeeWhy,SAP,2014,20-05-2014,Undisclosed amount,Complete,Undisclosed
SuccessFactors,SAP,2012,22-02-2012,"$3,400,000,000",Undisclosed,Undisclosed
Sybase,SAP,2010,12-05-2010,"$5,800,000,000",Undisclosed,Cash
Syclo,SAP,2012,10-04-2012,Undisclosed amount,Undisclosed,Undisclosed
delicious,Science,2014,08-05-2014,Undisclosed amount,Undisclosed,Undisclosed
McAfee,SiteAdvisor,2006,05-04-2006,Undisclosed amount,Undisclosed,Undisclosed
Convergent Media Systems,Sony,2010,28-01-2010,Undisclosed amount,Undisclosed,Undisclosed
Gaikai,Sony,2012,02-07-2012,"$380,000,000",Undisclosed,Undisclosed
Gracenote,Sony,2008,22-04-2008,"$260,000,000",Undisclosed,Undisclosed
LittleBigPlanet,Sony,2010,02-03-2010,Undisclosed amount,Undisclosed,Undisclosed
Flockish,StubHub,2012,01-04-2012,Undisclosed amount,Undisclosed,Undisclosed
StumbleUpon,StumbleUpon,2009,01-04-2009,"$29,000,000",Undisclosed,Undisclosed
@Stake,Symantec,2004,16-09-2004,Undisclosed amount,Undisclosed,Undisclosed
AppStream,Symantec,2008,09-04-2008,"$53,000,000",Undisclosed,Undisclosed
Brightmail,Symantec,2004,04-05-2004,"$370,000,000",Undisclosed,Cash
Clearwell Systems,Symantec,2011,11-07-2011,"$410,000,000",Undisclosed,Cash
GuardianEdge Technologies,Symantec,2010,29-04-2010,"$70,000,000",Undisclosed,Cash
LiveOffice,Symantec,2012,16-01-2012,"$115,000,000",Undisclosed,Undisclosed
MessageLabs,Symantec,2008,09-10-2008,"$695,000,000",Undisclosed,Undisclosed
Mi5 Networks,Symantec,2009,20-03-2009,Undisclosed amount,Undisclosed,Cash
Nukona,Symantec,2012,20-03-2012,Undisclosed amount,Undisclosed,Undisclosed
PasswordBank,Symantec,2013,18-07-2013,Undisclosed Amount,Undisclosed,Undisclosed
PC Tools,Symantec,2008,18-08-2008,Undisclosed amount,Undisclosed,Undisclosed
PGP Corporation,Symantec,2010,29-04-2010,"$300,000,000",Undisclosed,Cash
Recourse Technologies,Symantec,2002,01-08-2002,"$135,000,000",Undisclosed,Cash
SwapDrive,Symantec,2008,01-06-2008,"$123,000,000",Undisclosed,Undisclosed
TurnTide,Symantec,2004,01-07-2004,"$28,000,000",Undisclosed,Cash
VeriSign Authentication Services,Symantec,2010,19-05-2010,"$1,300,000,000",Undisclosed,Cash
Vontu,Symantec,2007,05-11-2007,"$350,000,000",Undisclosed,Cash
OZ Communications,Synchronica,2011,01-07-2011,"$25,000,000",Complete,Cash
Zimbra,Telligent Systems,2013,15-07-2013,Undisclosed amount,Undisclosed,Undisclosed
Aprimo,Teradata,2010,22-12-2010,"$525,000,000",Undisclosed,Undisclosed
Aster Data Systems,Teradata,2011,03-03-2011,"$263,000,000",Undisclosed,Undisclosed
eCircle,Teradata,2012,02-05-2012,Undisclosed amount,Undisclosed,Undisclosed
Hadapt,Teradata,2014,22-07-2014,Undisclosed amount,Complete,Undisclosed
Revelytix,Teradata,2014,22-07-2014,Undisclosed amount,Complete,Undisclosed
Think Big Analytics,Teradata,2104,03-09-2014,Undisclosed amount,Complete,Undisclosed
xkoto,Teradata,2010,26-05-2010,Undisclosed amount,Complete,Undisclosed
Terremark Worldwide,Terremark Worldwide,2009,12-11-2009,"$11,500,000",Undisclosed,Cash
Greenfield Online,Toluna,2009,26-06-2009,"$51,000,000",Undisclosed,Undisclosed
Gracenote,Tribune Company,2013,23-12-2013,"$170,000,000",Undisclosed,Undisclosed
AdGrok,Twitter,2011,31-05-2011,"$10,000,000",Undisclosed,Undisclosed
Atebits,Twitter,2010,09-04-2010,Undisclosed amount,Undisclosed,Undisclosed
BackType,Twitter,2011,05-07-2011,Undisclosed amount,Undisclosed,Undisclosed
Bagcheck,Twitter,2011,08-08-2011,Undisclosed amount,Undisclosed,Undisclosed
Bluefin Labs,Twitter,2013,04-02-2013,"$80,000,000",Undisclosed,Stock
Cabana,Twitter,2012,18-10-2012,Undisclosed amount,Undisclosed,Undisclosed
CardSpring,Twitter,2014,17-07-2014,Undisclosed amount,Undisclosed,Undisclosed
Cloudhopper,Twitter,2010,22-04-2010,Undisclosed amount,Undisclosed,Undisclosed
Clutch.io,Twitter,2012,13-08-2012,Undisclosed amount,Undisclosed,Undisclosed
Cover Lockscreen,Twitter,2014,07-04-2014,Undisclosed amount,Undisclosed,Undisclosed
Crashlytics,Twitter,2013,28-01-2013,"$100,000,000",Undisclosed,Undisclosed
Dabble DB,Twitter,2010,10-06-2010,Undisclosed amount,Undisclosed,Undisclosed
Dasient,Twitter,2012,24-01-2012,Undisclosed amount,Undisclosed,Undisclosed
Fluther,Twitter,2010,21-12-2010,Undisclosed amount,Undisclosed,Undisclosed
Gnip,Twitter,2014,11-08-2014,"$134,000,000",Pending,"Cash, Stock"
Hotspots.io,Twitter,2012,17-04-2012,Undisclosed amount,Undisclosed,Undisclosed
Julpan,Twitter,2011,21-09-2011,Undisclosed amount,Undisclosed,Undisclosed
Lucky Sort,Twitter,2013,13-05-2013,Undisclosed amount,Undisclosed,Undisclosed
Marakana,Twitter,2013,13-08-2013,Undisclosed amount,Undisclosed,Undisclosed
Mesagraph,Twitter,2014,31-03-2014,Undisclosed amount,Undisclosed,Undisclosed
Mitro,Twitter,2014,31-07-2014,Undisclosed amount,Pending,Undisclosed
Mixer Labs,Twitter,2009,23-12-2009,"$5,200,000",Undisclosed,Undisclosed
MoPub,Twitter,2013,09-09-2013,"$350,000,000",Undisclosed,Stock
Namo Media,Twitter,2014,05-06-2014,"$50,000,000",Pending,Undisclosed
Posterous,Twitter,2012,12-03-2012,Undisclosed amount,Undisclosed,Undisclosed
SecondSync,Twitter,2014,31-03-2014,Undisclosed amount,Undisclosed,Undisclosed
Smallthought Systems,Twitter,2010,10-06-2010,Undisclosed amount,Undisclosed,Undisclosed
SnappyTV,Twitter,2014,19-06-2014,Undisclosed amount,Pending,Undisclosed
Spindle,Twitter,2013,19-06-2013,Undisclosed amount,Undisclosed,Undisclosed
Summify,Twitter,2012,19-01-2012,Undisclosed amount,Undisclosed,Undisclosed
Summize,Twitter,2008,15-07-2008,"$15,000,000",Undisclosed,"Cash, Stock"
TapCommerce,Twitter,2014,30-06-2014,"$100,000,000",Complete,Undisclosed
Trendrr,Twitter,2013,28-08-2013,Undisclosed amount,Undisclosed,Undisclosed
TweetDeck,Twitter,2011,02-05-2011,"$40,000,000",Undisclosed,"Cash, Stock"
Ubalo,Twitter,2013,09-05-2013,Undisclosed amount,Undisclosed,Undisclosed
Values of n,Twitter,2008,24-11-2008,Undisclosed amount,Undisclosed,Undisclosed
Vine,Twitter,2012,09-10-2012,"$30,000,000",Undisclosed,Undisclosed
Whisper Systems,Twitter,2011,28-11-2011,Undisclosed amount,Undisclosed,Undisclosed
Alltel,Verizon Communications,2008,05-06-2008,"$28,100,000,000",Undisclosed,Undisclosed
CloudSwitch,Verizon Communications,2011,25-08-2011,Undisclosed amount,Undisclosed,Undisclosed
EdgeCast Networks,Verizon Communications,2013,09-12-2013,"$350,000,000",Undisclosed,Undisclosed
Hughes Telematics,Verizon Communications,2012,01-06-2012,"$612,000,000",Undisclosed,Undisclosed
MCI,Verizon Communications,2005,14-02-2005,Undisclosed amount,Undisclosed,Undisclosed
Terremark Worldwide,Verizon Communications,2011,03-07-1905,Undisclosed amount,Undisclosed,Undisclosed
UpLynk,Verizon Communications,2013,13-11-2013,Undisclosed amount,Undisclosed,Undisclosed
Cable&Wireless Worldwide,Vodafone,2012,23-04-2012,"$1,700,000,000",Undisclosed,Undisclosed
Complete Network Technology,Vodafone,2011,01-04-2011,Undisclosed amount,Undisclosed,Undisclosed
Ghana Telecommunications,Vodafone,2008,03-07-2008,"$900,000,000",Undisclosed,Undisclosed
Hellas Online,Vodafone,2014,22-08-2014,"$94,000,000",Pending,Cash
Kabel Deutschland,Vodafone,2013,24-06-2013,"$10,100,000,000",Undisclosed,Undisclosed
ONO,Vodafone,2014,17-03-2014,"$10,000,000,000",Undisclosed,Undisclosed
Unified Communications,Vodafone,2009,16-01-2009,Undisclosed amount,Undisclosed,Undisclosed
Wayfinder,Vodafone,2008,08-12-2008,"$31,000,000",Undisclosed,Undisclosed
ZYB,Vodafone,2008,16-05-2008,"$40,000,000",Undisclosed,Cash
Luminate,Yahoo,2014,07-09-2014,Undisclosed amount,Undisclosed,Undisclosed
3721 Internet Assistant,Yahoo,2004,01-01-2004,Undisclosed amount,Undisclosed,Undisclosed
5to1,Yahoo,2011,01-05-2011,"$30,000,000",Undisclosed,Undisclosed
AdInterax,Yahoo,2006,01-10-2006,Undisclosed amount,Undisclosed,Undisclosed
Admovate,Yahoo,2013,17-07-2013,Undisclosed amount,Undisclosed,Undisclosed
AlltheWeb,Yahoo,2003,02-02-2003,"$100,000,000",Undisclosed,Cash
Arthas,Yahoo,2000,01-08-2000,Undisclosed amount,Undisclosed,Undisclosed
Associated Content,Yahoo,2010,18-05-2010,"$90,000,000",Undisclosed,Cash
Astrid,Yahoo,2013,01-05-2013,Undisclosed amount,Undisclosed,Undisclosed
Aviate,Yahoo,2014,10-01-2014,"$80,000,000",Undisclosed,Undisclosed
Bignoggins Productions,Yahoo,2013,02-07-2013,Undisclosed amount,Undisclosed,Undisclosed
Bix,Yahoo,2006,16-11-2006,Undisclosed amount,Undisclosed,Cash
Blink,Yahoo,2014,14-05-2014,Undisclosed amount,Complete,Undisclosed
BlueLithium,Yahoo,2007,04-09-2007,"$300,000,000",Undisclosed,Cash
Bread,Yahoo,2013,13-10-2013,Undisclosed amount,Undisclosed,Undisclosed
Broadcast.com,Yahoo,1999,01-11-1999,"$5,700,000,000",Undisclosed,Stock
BuzzTracker,Yahoo,2007,14-09-2007,Undisclosed amount,Undisclosed,Undisclosed
Cadê,Yahoo,2002,01-01-2002,Undisclosed amount,Undisclosed,Undisclosed
Citizen Sports,Yahoo,2010,17-03-2010,Undisclosed amount,Undisclosed,Undisclosed
ClarityRay,Yahoo,2014,15-08-2014,Undisclosed amount,Complete,Undisclosed
ClassicGames.com,Yahoo,1998,01-03-1998,Undisclosed amount,Undisclosed,Cash
Cloud Party,Yahoo,2014,24-01-2014,Undisclosed amount,Undisclosed,Undisclosed
Dapper,Yahoo,2010,05-10-2010,"$55,000,000",Undisclosed,Undisclosed
delicious,Yahoo,2005,01-12-2005,Undisclosed amount,Undisclosed,Cash
Dialpad,Yahoo,2005,01-06-2005,Undisclosed amount,Undisclosed,Undisclosed
Distill,Yahoo,2014,13-02-2014,Undisclosed amount,Undisclosed,Undisclosed
eGroups,Yahoo,2000,28-06-2000,"$432,000,000",Undisclosed,Stock
Encompass,Yahoo,1999,01-06-1999,"$130,000,000",Undisclosed,Cash
EvntLive,Yahoo,2013,06-12-2013,Undisclosed amount,Undisclosed,Undisclosed
Flickr,Yahoo,2005,01-03-2005,Undisclosed amount,Undisclosed,"Cash, Stock"
Flurry,Yahoo,2014,21-07-2014,"$200,000,000",Complete,Undisclosed
Four11,Yahoo,1997,01-10-1997,"$92,000,000",Undisclosed,Cash
FoxyTunes,Yahoo,2008,04-02-2008,"$40,000,000",Undisclosed,Undisclosed
GeoCities,Yahoo,1999,28-01-1999,"$2,900,000,000",Undisclosed,Cash
GhostBird Software,Yahoo,2013,12-06-2013,Undisclosed amount,Undisclosed,Undisclosed
GoPollGo,Yahoo,2013,09-05-2013,Undisclosed amount,Undisclosed,Undisclosed
Hitpost,Yahoo,2013,01-10-2013,Undisclosed amount,Undisclosed,Undisclosed
Hotjobs,Yahoo,2002,11-01-2002,"$436,000,000",Undisclosed,Cash
HyperParallel,Yahoo,1999,01-02-1999,"$8,000,000",Undisclosed,Cash
Incredible Labs,Yahoo,2014,30-01-2014,Undisclosed amount,Undisclosed,Undisclosed
Indextools,Yahoo,2008,09-04-2008,Undisclosed amount,Undisclosed,Cash
Inktomi,Yahoo,2003,01-03-2003,"$235,000,000",Undisclosed,Cash
Inquisitor,Yahoo,2008,09-05-2008,Undisclosed amount,Undisclosed,Undisclosed
interclick,Yahoo,2011,01-11-2011,"$270,000,000",Undisclosed,Undisclosed
IntoNow,Yahoo,2011,25-04-2011,Undisclosed amount,Undisclosed,Undisclosed
IQ Engines,Yahoo,2013,23-08-2013,Undisclosed amount,Undisclosed,Undisclosed
Jumpcut,Yahoo,2006,02-10-2006,Undisclosed amount,Undisclosed,Undisclosed
Jybe,Yahoo,2013,20-03-2013,Undisclosed amount,Undisclosed,Undisclosed
Kelkoo,Yahoo,2004,26-03-2004,"$610,000,000",Undisclosed,Cash
Kenet Works,Yahoo,2006,17-11-2006,Undisclosed amount,Undisclosed,Undisclosed
Kimo,Yahoo,2000,01-11-2000,"$145,000,000",Undisclosed,Cash
Konfabulator,Yahoo,2005,25-07-2005,Undisclosed amount,Undisclosed,Undisclosed
Koprol,Yahoo,2010,25-05-2010,Undisclosed amount,Undisclosed,Undisclosed
Launch Media,Yahoo,2001,01-06-2001,"$12,000,000",Undisclosed,Cash
Lexity,Yahoo,2013,31-07-2013,Undisclosed amount,Undisclosed,Undisclosed
Log-me-on.com,Yahoo,1999,01-05-1999,"$10,000,000",Undisclosed,Cash
Loki Studios,Yahoo,2013,12-05-2013,Undisclosed amount,Undisclosed,Undisclosed
LookFlow,Yahoo,2013,23-10-2013,Undisclosed amount,Undisclosed,Undisclosed
Maktoob,Yahoo,2010,26-02-2010,"$164,000,000",Undisclosed,Cash
Maven Networks,Yahoo,2008,31-01-2008,"$160,000,000",Undisclosed,Undisclosed
Meedio,Yahoo,2006,18-04-2006,Undisclosed amount,Undisclosed,Undisclosed
MileWise,Yahoo,2013,09-05-2013,Undisclosed amount,Undisclosed,Undisclosed
Musicmatch,Yahoo,2004,01-09-2004,"$160,000,000",Undisclosed,Cash
MyBlogLog,Yahoo,2007,09-01-2007,"$10,000,000",Undisclosed,Cash
MyQuest,Yahoo,2000,01-03-2000,Undisclosed amount,Undisclosed,Undisclosed
Net Controls,Yahoo,1997,01-09-1997,"$1,400,000",Undisclosed,Cash
Oddpost,Yahoo,2004,01-07-2004,Undisclosed amount,Undisclosed,Undisclosed
Online Anywhere,Yahoo,1999,01-07-1999,"$80,000,000",Undisclosed,Cash
ONtheAIR,Yahoo,2012,05-12-2012,Undisclosed amount,Undisclosed,Undisclosed
Overture Services,Yahoo,2003,14-07-2003,"$1,600,000,000",Undisclosed,Undisclosed
PeerCDN,Yahoo,2013,17-12-2013,Undisclosed amount,Undisclosed,Undisclosed
PlayerScale,Yahoo,2013,23-05-2013,Undisclosed amount,Undisclosed,Undisclosed
Propeld,Yahoo,2013,12-02-2013,Undisclosed amount,Undisclosed,Undisclosed
Ptch,Yahoo,2013,03-12-2013,Undisclosed amount,Undisclosed,Undisclosed
Quik.io,Yahoo,2013,09-12-2013,Undisclosed amount,Undisclosed,Undisclosed
Qwiki,Yahoo,2013,02-07-2013,"$50,000,000",Undisclosed,Undisclosed
RayV,Yahoo,2014,11-07-2014,Undisclosed amount,Undisclosed,Undisclosed
Right Media,Yahoo,2007,01-04-2007,"$850,000,000",Undisclosed,Cash
Rivals.com,Yahoo,2007,20-06-2007,"$100,000,000",Undisclosed,Undisclosed
