Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms
AppIQ,HP,2005,19-09-2005,Undisclosed amount,Undisclosed,Undisclosed
Applied Optoelectronic Tech,HP,1991,28-01-1991,Undisclosed amount,Undisclosed,Undisclosed
ArcSight,HP,2010,13-09-2010,"$1,500,000,000",Undisclosed,Undisclosed
Arteis,HP,2007,24-04-2007,Undisclosed amount,Undisclosed,Undisclosed
Artivision Technologies,HP,2001,06-09-2001,Undisclosed amount,Undisclosed,Undisclosed
Atos Origin Middle East group,HP,2007,22-10-2007,Undisclosed amount,Undisclosed,Undisclosed
Autonomy Corporation,HP,2011,18-08-2011,"$10,200,000,000",Undisclosed,Cash
Avantek,HP,1991,08-08-1991,Undisclosed amount,Undisclosed,Undisclosed
Bitfone Corporation,HP,2006,20-12-2006,Undisclosed amount,Undisclosed,Undisclosed
Bluestone Software,HP,2001,18-01-2001,Undisclosed amount,Undisclosed,Undisclosed
Bristol Technology,HP,2007,05-02-2007,Undisclosed amount,Undisclosed,Undisclosed
BT & D Technologies,HP,1993,20-09-1993,Undisclosed amount,Undisclosed,Undisclosed
CaLan,HP,1995,15-06-1995,Undisclosed amount,Undisclosed,Undisclosed
CEC Europe Service Management,HP,2004,13-05-2004,Undisclosed amount,Undisclosed,Undisclosed
CGNZ,HP,2005,07-09-2005,Undisclosed amount,Undisclosed,Undisclosed
Colorado Memory Systems,HP,1994,02-11-1994,Undisclosed amount,Undisclosed,Undisclosed
Colubris Networks,HP,2008,11-08-2008,Undisclosed amount,Undisclosed,Undisclosed
Compaq,HP,2001,04-09-2001,Undisclosed amount,Undisclosed,Undisclosed
Consera Software,HP,2004,16-02-2004,Undisclosed amount,Undisclosed,Undisclosed
Convex Computer,HP,1995,21-09-1995,Undisclosed amount,Undisclosed,Undisclosed
Dazel,HP,1999,07-06-1999,Undisclosed amount,Undisclosed,Undisclosed
Division,HP,1996,20-06-1996,Undisclosed amount,Undisclosed,Undisclosed
EDS,HP,2008,13-05-2008,"$13,900,000,000",Undisclosed,Undisclosed
EEsof,HP,1993,13-09-1993,Undisclosed amount,Undisclosed,Undisclosed
ElseWare,HP,1995,21-12-1995,Undisclosed amount,Undisclosed,Undisclosed
Eon Systems,HP,1989,13-01-1989,Undisclosed amount,Undisclosed,Undisclosed
Eucalyptus Systems,HP,2014,12-09-2014,"$11,000,000,000",Complete,Undisclosed
ExcellerateHRO,HP,2009,19-06-2009,Undisclosed amount,Undisclosed,Undisclosed
Exstream Software,HP,2008,22-01-2008,Undisclosed amount,Undisclosed,Undisclosed
Extreme Logic,HP,2003,13-08-2003,Undisclosed amount,Undisclosed,Undisclosed
EYP Mission Critical Facilities,HP,2007,12-11-2007,Undisclosed amount,Undisclosed,Undisclosed
Fortify Software,HP,2010,17-08-2010,Undisclosed amount,Undisclosed,Undisclosed
Four Pi Systems,HP,1993,01-04-1993,Undisclosed amount,Undisclosed,Undisclosed
Heartstream,HP,1998,27-03-1998,Undisclosed amount,Undisclosed,Undisclosed
Hiflex Software,HP,2011,06-12-2011,Undisclosed amount,Undisclosed,Undisclosed
IBRIX,HP,2009,17-07-2009,Undisclosed amount,Undisclosed,Cash
Knightsbridge Solutions,HP,2006,12-12-2006,Undisclosed amount,Undisclosed,Undisclosed
Lefthand Networks,HP,2008,30-09-2008,"$360,000,000",Undisclosed,Cash
MacDermid ColorSpan,HP,2007,13-09-2007,Undisclosed amount,Undisclosed,Undisclosed
Melodeo,HP,2010,23-06-2010,"$30,000,000",Undisclosed,Undisclosed
Mercury Interactive,HP,2006,26-07-2006,"$4,500,000,000",Undisclosed,Undisclosed
Metrix Network Systems,HP,1993,27-05-1993,Undisclosed amount,Undisclosed,Undisclosed
Neoware,HP,2007,23-07-2007,Undisclosed amount,Undisclosed,Undisclosed
Novadigm,HP,2004,02-04-2004,Undisclosed amount,Undisclosed,Undisclosed
NUR Macroprinters,HP,2007,12-12-2007,Undisclosed amount,Undisclosed,Undisclosed
Open Skies,HP,1998,30-10-1998,Undisclosed amount,Undisclosed,Undisclosed
Opsware,HP,2007,23-07-2007,"$1,600,000,000",Undisclosed,Cash
Optimization Systems,HP,1997,25-11-1997,Undisclosed amount,Undisclosed,Undisclosed
OuterBay Technologies,HP,2006,07-02-2006,Undisclosed amount,Undisclosed,Undisclosed
Palm,HP,2010,01-07-2010,"$1,200,000,000",Undisclosed,Undisclosed
Peregrine Systems,HP,2005,19-12-2005,Undisclosed amount,Undisclosed,Undisclosed
Persist Technologies,HP,2003,11-11-2003,Undisclosed amount,Undisclosed,Undisclosed
PipeBeach,HP,2003,23-07-2003,Undisclosed amount,Undisclosed,Undisclosed
PIXACO,HP,2005,13-12-2005,Undisclosed amount,Undisclosed,Undisclosed
PolyServe,HP,2007,26-02-2007,Undisclosed amount,Undisclosed,Undisclosed
PROLIN,HP,1997,06-06-1997,Undisclosed amount,Undisclosed,Undisclosed
Qosnetics,HP,1999,20-09-1999,Undisclosed amount,Undisclosed,Undisclosed
RLX Technologies,HP,2005,03-10-2005,Undisclosed amount,Undisclosed,Undisclosed
Scitex Vision,HP,2005,01-11-2005,Undisclosed amount,Undisclosed,Undisclosed
Scope Communications,HP,1998,19-10-1998,Undisclosed amount,Undisclosed,Undisclosed
Security Force Software,HP,1999,04-08-1999,Undisclosed amount,Undisclosed,Undisclosed
Shunra Software,HP,2013,01-05-2013,"$25,000,000",Complete,Cash
Silverwire Holding,HP,2006,06-06-2006,Undisclosed amount,Undisclosed,Undisclosed
Snapfish,HP,2005,01-04-2005,"$300,000,000",Undisclosed,Cash
SPI Dynamics,HP,2007,19-06-2007,Undisclosed amount,Undisclosed,Undisclosed
StorageApps,HP,2001,24-09-2001,Undisclosed amount,Undisclosed,Undisclosed
Stratavia,HP,2010,26-08-2010,Undisclosed amount,Undisclosed,Undisclosed
Synstar,HP,2004,01-10-2004,Undisclosed amount,Undisclosed,Undisclosed
Tabblo,HP,2007,20-03-2007,Undisclosed amount,Undisclosed,Undisclosed
Talking Blocks,HP,2003,03-09-2003,Undisclosed amount,Undisclosed,Undisclosed
Telegra,HP,1999,15-05-1999,Undisclosed amount,Undisclosed,Undisclosed
The Technology Partners,HP,2006,27-06-2006,Undisclosed amount,Undisclosed,Undisclosed
Tower Software,HP,2008,31-03-2008,Undisclosed amount,Undisclosed,Undisclosed
Transoft Networks,HP,1999,04-05-1999,Undisclosed amount,Undisclosed,Undisclosed
Trellis Software & Controls,HP,1996,05-08-1996,Undisclosed amount,Undisclosed,Undisclosed
Triaton,HP,2004,23-02-2004,Undisclosed amount,Undisclosed,Undisclosed
Trinagy,HP,2001,28-08-2001,Undisclosed amount,Undisclosed,Undisclosed
TruLogica,HP,2004,11-03-2004,Undisclosed amount,Undisclosed,Undisclosed
Trustgenix,HP,2005,30-11-2005,Undisclosed amount,Undisclosed,Undisclosed
VeriFone,HP,1997,01-04-1997,"$1,200,000,000",Undisclosed,Stock
Versatest,HP,1994,31-10-1994,Undisclosed amount,Undisclosed,Undisclosed
Vertica Systems,HP,2011,14-02-2011,Undisclosed amount,Undisclosed,Undisclosed
Vital Technology Pte Ltd,HP,1997,10-03-1997,Undisclosed amount,Undisclosed,Undisclosed
VoodooPC,HP,2006,28-09-2006,Undisclosed amount,Undisclosed,Undisclosed
Access360,IBM,2002,02-09-2002,Undisclosed amount,Undisclosed,Undisclosed
Algorithmics,IBM,2011,01-09-2011,Undisclosed amount,Undisclosed,Undisclosed
AlphaBlox Corporation,IBM,2004,14-07-2004,Undisclosed amount,Undisclosed,Undisclosed
Aptrix,IBM,2003,15-07-2003,Undisclosed amount,Undisclosed,Undisclosed
AptSoft,IBM,2008,23-01-2008,Undisclosed amount,Undisclosed,Undisclosed
ARGUS Semiconductor Software,IBM,2006,27-01-2006,Undisclosed amount,Undisclosed,Undisclosed
Arsenal Digital Solutions,IBM,2008,01-02-2008,Undisclosed amount,Undisclosed,Undisclosed
Ascential Software,IBM,2005,02-05-2005,Undisclosed amount,Undisclosed,Undisclosed
Aspera,IBM,2013,19-12-2013,Undisclosed amount,Undisclosed,Undisclosed
BigFix,IBM,2010,01-07-2010,Undisclosed amount,Undisclosed,Undisclosed
BLADE Network Technologies,IBM,2010,27-09-2010,Undisclosed amount,Undisclosed,Undisclosed
Bowstreet,IBM,2005,20-12-2005,Undisclosed amount,Undisclosed,Undisclosed
BuildForge,IBM,2006,02-05-2006,Undisclosed amount,Undisclosed,Undisclosed
Butterfly Software,IBM,2012,24-09-2012,Undisclosed amount,Undisclosed,Undisclosed
Candle,IBM,2004,07-06-2004,Undisclosed amount,Undisclosed,Undisclosed
Cast Iron Systems,IBM,2010,03-05-2010,Undisclosed amount,Undisclosed,Undisclosed
CIMS Lab,IBM,2006,25-01-2006,Undisclosed amount,Undisclosed,Undisclosed
Clarity Systems,IBM,2010,21-10-2010,Undisclosed amount,Undisclosed,Undisclosed
Cloudant,IBM,2014,24-02-2014,Undisclosed amount,Undisclosed,Undisclosed
Cognea,IBM,2014,20-05-2014,Undisclosed amount,Undisclosed,Undisclosed
Cognos,IBM,2008,31-01-2008,Undisclosed amount,Undisclosed,Undisclosed
Consul risk management international,IBM,2007,24-01-2007,Undisclosed amount,Undisclosed,Undisclosed
Coremetrics,IBM,2010,15-06-2010,Undisclosed amount,Undisclosed,Undisclosed
Corio,IBM,2005,16-03-2005,Undisclosed amount,Undisclosed,Undisclosed
CrossAccess,IBM,2003,14-10-2003,Undisclosed amount,Undisclosed,Undisclosed
CrossIdeas,IBM,2014,01-08-2014,Undisclosed amount,Pending,Undisclosed
CrossWorlds Software,IBM,2002,14-01-2002,Undisclosed amount,Undisclosed,Undisclosed
CSL International,IBM,2013,10-07-2013,"$20,000,000",Undisclosed,Undisclosed
Cyanea Systems,IBM,2004,29-07-2004,Undisclosed amount,Undisclosed,Undisclosed
DataMirror,IBM,2007,04-09-2007,Undisclosed amount,Undisclosed,Undisclosed
DataPower Technology,IBM,2005,18-10-2005,Undisclosed amount,Undisclosed,Undisclosed
DemandTec,IBM,2011,08-12-2011,"$440,000,000",Undisclosed,Undisclosed
Diligent Technologies,IBM,2008,02-05-2008,Undisclosed amount,Undisclosed,Undisclosed
DWL,IBM,2005,01-09-2005,Undisclosed amount,Undisclosed,Undisclosed
EADS Matra Datavision,IBM,2002,07-10-2002,Undisclosed amount,Undisclosed,Undisclosed
Emptoris,IBM,2011,15-12-2011,Undisclosed amount,Undisclosed,Undisclosed
Encentuate,IBM,2008,12-03-2008,Undisclosed amount,Undisclosed,Undisclosed
Exeros,IBM,2009,05-05-2009,Undisclosed amount,Undisclosed,Undisclosed
Fiberlink,IBM,2013,13-11-2013,Undisclosed amount,Undisclosed,Undisclosed
FileNet Corporation,IBM,2006,12-10-2006,Undisclosed amount,Undisclosed,Undisclosed
FilesX,IBM,2008,21-04-2008,Undisclosed amount,Undisclosed,Undisclosed
Global Value Solutions,IBM,2006,06-09-2006,Undisclosed amount,Undisclosed,Undisclosed
Gluecode Software,IBM,2005,10-05-2005,Undisclosed amount,Undisclosed,Undisclosed
Green Hat,IBM,2012,04-01-2012,Undisclosed amount,Undisclosed,Undisclosed
Green Pasture Software,IBM,2003,17-12-2003,Undisclosed amount,Undisclosed,Undisclosed
Guardium,IBM,2009,30-11-2009,"$225,000,000",Undisclosed,Undisclosed
HOLOSOFX,IBM,2002,12-09-2002,Undisclosed amount,Undisclosed,Undisclosed
i2,IBM,2011,31-08-2011,Undisclosed amount,Undisclosed,Undisclosed
ILOG,IBM,2008,28-07-2008,Undisclosed amount,Undisclosed,Undisclosed
InfoDyne Corporation,IBM,2008,01-04-2008,Undisclosed amount,Undisclosed,Undisclosed
Initiate Systems,IBM,2010,03-02-2010,Undisclosed amount,Undisclosed,Undisclosed
Intelliden,IBM,2010,16-02-2010,Undisclosed amount,Undisclosed,Undisclosed
Internet Security Systems,IBM,2006,20-10-2006,Undisclosed amount,Undisclosed,Undisclosed
iPhrase Technologies,IBM,2005,01-11-2005,Undisclosed amount,Undisclosed,Undisclosed
Isogon Corporation,IBM,2005,27-07-2005,Undisclosed amount,Undisclosed,Undisclosed
Kenexa,IBM,2012,28-08-2012,"$1,300,000,000",Undisclosed,Cash
KeyMRO,IBM,2004,13-12-2004,Undisclosed amount,Undisclosed,Undisclosed
Language Analysis Systems,IBM,2006,16-03-2006,Undisclosed amount,Undisclosed,Undisclosed
Liberty Insurance Services,IBM,2004,23-11-2004,Undisclosed amount,Undisclosed,Undisclosed
Lombardi Software,IBM,2009,16-12-2009,Undisclosed amount,Undisclosed,Undisclosed
Lotus Development Corporation,IBM,1995,06-07-1995,"$3,500,000,000",Undisclosed,Undisclosed
Maersk Data,IBM,2004,18-08-2004,Undisclosed amount,Undisclosed,Undisclosed
Mainspring,IBM,2001,07-06-2001,Undisclosed amount,Undisclosed,Undisclosed
Meiosys,IBM,2005,23-06-2005,Undisclosed amount,Undisclosed,Undisclosed
Metamerge,IBM,2002,25-06-2002,Undisclosed amount,Undisclosed,Undisclosed
Micromuse,IBM,2006,15-02-2006,Undisclosed amount,Undisclosed,Undisclosed
MRO Software,IBM,2006,05-10-2006,Undisclosed amount,Undisclosed,Undisclosed
Net Integration Technologies,IBM,2008,18-01-2008,Undisclosed amount,Undisclosed,Undisclosed
Netezza,IBM,2010,20-09-2010,"$1,700,000,000",Undisclosed,Undisclosed
Network Solutions Private Limited,IBM,2005,09-11-2005,Undisclosed amount,Undisclosed,Undisclosed
NovusCG,IBM,2007,24-10-2007,Undisclosed amount,Undisclosed,Undisclosed
Ounce Labs,IBM,2009,28-07-2009,Undisclosed amount,Undisclosed,Undisclosed
Outblaze,IBM,2009,16-04-2009,Undisclosed amount,Undisclosed,Undisclosed
Palisades Technology Partners,IBM,2006,10-11-2006,Undisclosed amount,Undisclosed,Undisclosed
